0,1,2
CSNK1A1,pp,CSNK1D
CSNK1A1,pp,CSNK1G2
CSNK1A1,pp,CSNK2A1
CSNK1A1,pp,CSNK2A2
CSNK1A1,pp,GSK3B
CSNK1A1,pp,TGFBR1
PTPN11,pp,PDGFRB
PTPN11,pp,BCR
PTPN11,pp,PDGFRA
PTPN11,pp,FYN
PTPN11,pp,MET
PTPN11,pp,PTK2B
PTPN11,pp,JAK2
PTPN11,pp,IGF1R
PTPN11,pp,EGFR
PTPN11,pp,CHUK
PTPN11,pp,MAPK3
PTPN11,pp,SIRPA
PTPN11,pp,JAK1
PTPN11,pp,LCK
PTPN11,pp,PTPN6
PTPN11,pp,SYK
PTPN11,pp,NTRK2
PTPN11,pp,PTP4A2
PTPN11,pp,TYK2
PTPN11,pp,TEK
PTPN11,pp,FGFR3
PTPN11,pp,KIT
PTPN11,pp,NTRK1
PTPN11,pp,INSR
PTPN11,pp,RET
ABL1,pp,CDK5
ABL1,pp,PTPN6
ABL1,pp,JAK1
ABL1,pp,RASA1
ABL1,pp,PRKD1
ABL1,pp,BTK
ABL1,pp,ROS1
ABL1,pp,HCK
ABL1,pp,PSTPIP1
ABL1,pp,ABL1
ABL1,pp,JAK2
ABL1,pp,BCR
ABL1,pp,ABL2
ABL1,pp,AKT1
ABL1,pp,FRAP1
ABL1,pp,JAK3
ABL1,pp,LYN
ABL1,pp,MAP3K1
ABL1,pp,MAP3K11
ABL1,pp,PKN2
ABL1,pp,MAP2K6
ABL1,pp,PTPN11
ABL1,pp,PTPRF
ABL1,pp,MAP2K4
ABL1,pp,GSK3B
ABL1,pp,FYN
